inner_id,username,profile,follower_cnt,following_cnt
26927065662,study_daigakusei5797,"🦧:大学1年生(19)
🦍:国際日本学部
🐷:英検/世界遺産/旅行業務取扱管理者/韓国/スペイン
________________________________________
ハングル検定3級 《決戦日⇒11月🔥》
世界遺産検定1級 《決戦日⇒12月🔥》
英検1級 《決戦日⇒1月🔥》",42,7
38183833652,hhnu.sttu,"2021 편입 준비생 | 같이 공부 해요 '-'
 ◾ 자연계 편입준비
 ◾ 공과계열 학과 지원 ⛳
 ◾ 하루하루 최선을 다하자 〰️하루살이 마인드〰️",99,41
39776209416,___with_____j,"혜쥐스 공부 계정🔥
⋆｡ﾟ★⋆⁺₊⋆ ﾟ☾ ﾟ｡⋆ ☁︎｡₊⋆ ﾟ 
2020 F/W Plan
- español 독학 하기
- TOEIC 800 달성 하기
- 웹디자인기능사 자격증 따기
- 전공 올 A+ 맞기",56,25
8464766470,ddaeng_study,22살 공대생🤦‍♀️,17,200
39046133002,siksub_studying,"2021 공인노무사 준비생👨‍🎓
_(월)토일 : 스터디 데이🔥
_화수목금: 현생데이⚒💰",33,3
13792355977,dail_hya,,0,12
40583031974,sagaci_ous,빨리취업하자,3,15
31711304256,dental_hygiene_20,"👉도전정신👈🏻
📕20치위생
📗학점관리
📘한능검-9/19",270,154
1907704619,lian_niee,"lian_gongsta_->lian_niee 아이디 변경
ᴘᴏʟɪᴄᴇ ᴀᴅᴍɪɴɪsᴛʀᴀᴛɪᴏɴ 20
🚀모트모트로켓단 19기",60,154
26560659363,gano_study,"#studentnurse
#간호학과 #19학번 #공스타그램 #studygram
#책 #책추천 #책스타그램 #독서",365,61
5397394734,v_the_best_,"- 자소서 생기부 첨삭 문의 아래 링크로❗
- KHU 대학생 공스타그램📚
- 21년도 CPA 1차 합격 🔜저유🔥🙏
- CPA✏ 2019.09.04 ~
- 본격 시작 2020.01.02.
#자소서첨삭 #생기부첨삭",512,101
17422932388,ha._.study_,"𝓗𝓸𝓼𝓹𝓲𝓽𝓪𝓵 𝓶𝓪𝓷𝓪𝓰𝓮𝓶𝓮𝓷𝓽 𝓼𝓽𝓾𝓭𝓮𝓷𝓽 𝓵𝓲𝓯𝓮 𝓭𝓲𝓪𝓻𝔂
🅡=🅥🅓 𝙃𝙚𝙖𝙡𝙩𝙝 𝙖𝙣𝙙 𝙈𝙚𝙙𝙞𝙘𝙖𝙡 𝙄𝙣𝙛𝙤𝙧𝙢𝙖𝙩𝙞𝙤𝙣 𝙈𝙖𝙣𝙖𝙜𝙚𝙧🌈
🐰𝟐𝟎",177,427
6589409498,20_h_j_p,🇰🇷🏍,213,387
32526116772,quiero_b1_gongsta,"🇪🇸 20.11.14 DELE B1 벼락치기를 위한 공스타그램
🇪🇸 스페인어 입문 9개월차 비전공생
🇪🇸 이렇게 갑자기 델레를 준비하게 될 줄 저도 몰랐어요...",1,0
39662203052,star._.dim,"📌사복직 공시생
📌사회복지사 1급 공부
📌4학년 재학 전공생
📌선팔시 맞팔(공스타만)",60,51
36724519248,korean_medddd,"⬅️korea univ.17 
➡️korean medicine 19✨
#한의대생 #대학생공스타그램
#선팔후댓글맞팔🙌
공스타그램 계정은 맞팔해용🙂🙂 
🎶하니대생(23)🎶",105,16
36290779694,deuteronomy__31_6,주님뜻대로 살아가게 해주세요,5,11
40627889839,p1ck_me,"😎막학기&경영 휴학생의 취준 공스타😎
☘️8-8:30기상 & 운동
🍀 자격증 뿌시기 & 빡공
⭐️선팔 시 맞팔(공부 자극 되는 계정 중심으로)",150,120
653347288,___study_nursing,"💉📖🖊 
👉@xxbinn__
공스타 맞팔 디엠이나 댓글🧤 
#sn #nurse #nursing #study #자기관리용공스타",59,4
36671178369,re_zero_01,"📚흔한 대학생(20)의 공부기록
💉임상병리학과 1학년
 
🏛9/1 개강",3,0
32467836431,hayeon_.study,"📚공스타 (20.04.02~)
주말엔 피드❌
💙리훈체험단(@rihoon) : 08/08~09/06
⭐사이버대학생활
⭐TOEIC(20.07.06~ )
선팔 후 DM/댓글(댓글은 오류가 많아요😭) 👉맞팔🙇‍♀️💕
#공스타그램 #대학생공스타 #공스타맞팔",105,83
40589645471,gongstagrae,감수성 풍부한 공대생의 공부기록,10,27
14414503712,__.adorable_,그냥 이것저것 하는 중,123,83
33211154582,pharmacistory_hyun,"𝐃𝐨 𝐰𝐡𝐚𝐭 𝐲𝐨𝐮 𝐥𝐨𝐯𝐞, 𝐋𝐨𝐯𝐞 𝐰𝐡𝐚𝐭 𝐲𝐨𝐮 𝐝𝐨
💊GPA 97/ 2022 PEET 12준",303,18
28142025723,pharma._.cist,"Chemistry 20, 2022 PEET",29,28
39644457247,_22.0917,"초시생 뚜깡이🍑
2021 검찰직📚
법학과 전공, 컴퓨터공학 복수전공‼️
국어/영어/한국사/형법/형소법 +토익850
#studywithme",55,35
28616888665,chemitory,"공대생 4학년 
🐚암모나이트🐾의 공스타그램
No pain, No gain✨",11,6
33604272873,stud.y819,"📚sᴛᴜᴅʏ ᴋᴏʀᴇᴀɴ[sᴛᴜᴅᴇɴᴛ]🇰🇷
🔹파이팅! #공부스타그램 #같이공부해요
⏳열심히 공부하겠습니다// #studygram",124,93
21384344476,study_ys20,"💎 대학생의 공스타그램
💎 NOTICE 읽어주세요 :D
💎 선팔 후 댓글/DM 해주시면 맞팔해요!
💎 소개 계정 팔로우 받지 않습니다!
-
#공스타그램 #대학생공스타그램",500,412
38592870930,17317071._.486,"❣NURSING_SN 18
❣ECE 11
❣운명을 만드는 사람은 바로 자기 자신이다
❣맞팔 환영 / 선팔 후 DM ⬇️
-
대학생2회차
자기만족+의욕곱씹기+기록보관
#간호학과 #간호학생 #학생간호사 #간호학과공스타그램 #STUDENTNURSE #studygram",88,50
39406029855,dowonie_00,"@user_dowowowown 
무언갈 하기 위해 만든 계정
👍대외활동 계정
👍조선대학교 대학혁신지원사업 학생 서포터즈 2기",46,54
37080183540,historyoon_01,"JNU 사학과 20  🌱
로스쿨 지망생 대학교 공부 기록 👩🏻‍🎓
@j.yoon_1116 <= 새내기 일상 🧚🏻
공스타만 맞팔해요 :-)",100,64
37131471588,econ.song_study,"🏫 ᴜɴɪᴠᴇʀsɪᴛʏ : sᴏᴏᴋᴍʏᴜɴɢ ᴡ.ᴜɴɪᴠ.
🔖 ᴍᴀᴊᴏʀ : ᴇᴄᴏɴᴏᴍɪᴄs
💙 @_longxyeon_
❄️ #눈송이는공부중",114,131
40229825185,_study_98,"Success is the sum of small efforts that have been repeated day after day.
✏ 2020. 08. 15. ~
▫️ 공부 기록📝
▫️ 토익 독학📚
▫️ 2021 사회복지 1급 합격🙏",1,1
1419514552,law_zyana,"𝘛𝘩𝘦 𝘫𝘰𝘶𝘳𝘯𝘦𝘺 𝘪𝘴 𝘵𝘩𝘦 𝘳𝘦𝘸𝘢𝘳𝘥.
-
2021.2🚪🔨🔨🔨
법원 49기 여정의 기록 🌠",229,81
33753806728,_nurstagram__,"👉🏻SN
👉🏻공부 흔적 계정",29,27
38928733348,jaeyoons_view,"내가 바라보는 세상 👀
✏️ 기록을 좋아하는 대구 청년🕴🏻
🔻자세한 리뷰는 블로그로!🔻
.
#정보 #꿀팁 #대구 #대구가볼만한곳 #대학생활",66,14
