inner_id,username,profile,follower_cnt,following_cnt
590247026,j_mm119,👧🏻,585,271
2030229136,junmo2030,,198,113
1120945575,subi_1ie,인생🤪🤩😎🤑,142,132
1923734050,mnis_kate_91,,139,369
29075438189,storymath1,"#한마을상가 2층 #무료체험수업 
☎️010-4894-6949
 (수업중이거나 부재시에는 문자로 연락주시면     확인후 연락드리겠습니다. )
🍀수학이 #즐거워진다.
🍀교구를 만지며 수학의 #개념을 익힌다.
🍀깊게 #생각하는 것도 #습관이 된다.",48,31
3961891121,b_ra___,𝔹𝕠𝕣𝕒'𝕤 𝔻𝕒𝕚𝕝𝕪 𝕃𝕚𝕗𝕖,110,62
3048453148,ssoomining,,653,416
3019595972,u.jooo,"🎂1991. 11.25
❤️2014.03.26
💍2017. 11.25
👶🏻2019.05.06
🐈🐈👨‍👩‍👧🐈🐈",419,155
2281131067,jae_kyo2,,488,365
3060676525,hyoeun1121,,187,323
775528381,_yu.jin___,,161,191
1826327519,ej.st_91,,90,202
3049531431,30k__hoon,,143,147
1557467145,ekdns9171,이다운다,394,449
37373813900,lwtfo8918x04bqf,,3,91
3241448158,daaaaaaan2,,122,186
833183312,kb.0607,"반듯한 사람😉
이번년도 테마는 여행
캠핑을사랑해
지치지않는사람
책좋아하는개발자",328,462
2302874477,snowflowereffects,"🇰🇷👩🏼‍🌾🥀✂️ connection📲 DM
#snowflowereffect
#latebloomer_diary
#LatebloomerBySnowflower",516,471
11161751884,honeygoo_cream,"타투전용 애프터케어 허니구(Honey Goo)입니다.
전성분 EWG그린레벨을 준수하여 만들어졌습니다.",286,602
16801814206,kimheungju07,"#부산방랑자#전국방랑자#방랑자#부산맛집#전국맛집
#부산여행 #전국여행#일상#사회#소통#쓴소리#잡소리
#고기굽기자격증보유#라면조리자격증보유
#나의맛집이야기#나의여행이야기#나의일상이야기#그리고너",169,51
1763419241,jjung9494,❤️🧡💛💚💙💜❤️🧡💛💚,587,131
6056213370,duumi_5,,100,91
39690374301,uu___226,"🎀민영이 일상
👉👉후기인증 본계정:@osh5551
👩🏻오픈채팅으로 문의 고고",22,0
8025588090,0_topper,"👍영토퍼
케이크 토퍼/기념일 토퍼/여행 토퍼/주문제작
-
●카카오톡, 인스타 DM으로 상담 및 주문
  (댓글은 상담받지 않습니다~)
-
●카카오톡ID: 영토퍼(카카오톡 검색창에 검색)",460,671
17385348160,writizy,"쓰고 싶을 때 그냥 씁니다.
물 마시듯 읽히길.",4,0
5409573146,hgo286,2년동안 몸상태가 안좋았음 ㅜ 이제 잘먹고 잘살자 먹스타 일상 인스타 ☆☆,576,492
4509080262,fromkangjak,"#편지구독서비스 #친애하는오늘에게 
매주 따뜻한 일상을 녹인 아날로그편지를 보내드립니다 ◡̈ 
• 친애하는오늘에게 9/10월 vol.11 가을편지 진행 중",241,186
3264730360,yongsokim,"없어도, 없이살지말자",454,611
3059843052,rimmming,➡️🏕 @rino.camp 도 가보세요!,539,346
1449533114,91cchul,철스타그램에 오신것을 환영합니다!,217,215
7008645032,gemini_63,let it be,93,97
1115442229,hyuni_0728,,170,128
36841905839,_sticky_cake,"Sticky Cake(스티키케이크)
대구 레터링케이크
*크림치즈 케이크* 
대구광역시 남구 중앙대로 22길9
open : 12:00~ closed : 19:00
⬇️주문 및 문의⬇️",327,452
2116011183,19_716,🥳2020.08.18.AM10:19🥳,220,175
1532217582,petra_somvely_mom,혜경퀸💛,547,484
514132588,yeozzy,"Hongik Univ. GGD
EDM life (progressive house)
Big fan of third party",399,651
5319571716,yakson_sungshin,"😊연예인552명이 관리받는 약손명가👍
⏰월-금: 10시-10시토요일:9시-5시30분
☎️ 02-925-3331
🏠서울특별시 성북구 동소문로 22길 4,2층",453,581
903125730,__orzrmi__,"🔓
ᴡᴇᴅᴅɪɴɢ 𝟤𝟢𝟣𝟫.𝟢𝟤.𝟤𝟥 💍
ᴄʜᴀʟᴅᴅᴜᴄᴋ 𝟤𝟢𝟤𝟢.𝟣𝟢.𝟤𝟫 👶🏻
ʜᴡᴀʀᴀɴɢ 🐶 ʙᴏɴɢɢᴜ 🐶",236,210
2224640156,7.91kg,"⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
🐶타오름달 열나흘 13:58
49ᴄᴍ 2.81ᴋɢ_둥글 륜 이로울 이",558,243
1278920486,165.93kg,,161,79
7193011245,joeunzeeee,"후추❤🐶@_huchuda
감사합니다 🙏  모두 행복하세염 🍀",89,83
4164765,im.soom2,"#둔산동미용실#대전미용실 #얼굴소멸컷
    💛매주화요일 off
⠀ 💛네이버예약 🔎#허준헤어둔산애플점 🍎🍏
⠀
☝️꼼꼼한 상담으로
고객님의 니즈와 개성을 더해
고객님만을위한 퍼스널디자인 해드리겠습니다🥰
⠀
문의는 아래 오픈카톡을 이용해주세요👇👇👇👇",338,200
30031126090,j_scrap_book,"#묘력책방 #제이스크랩북 #😺❤📚  #일상 #고양이 #책
❤ 수익금의  일부는 #길냥이 와 사회의 도움이 필요한 곳에 사용될 예정입니다. 🌱",85,127
1616273070,dyd_1004,,398,172
404303833,wonnieya,보라매댁🐥 찌질이 대리🐰 kt wiz fan girl⚾️,544,474
1948290691,karen_hyewon,"겉과 속이 똑!닮은 토마토처럼 신뢰로 감동을 주고픈 기획자
#기획하는마케터 #산책하는도시여행자",475,374
25127577943,gypsophila__94,,0,0
1429276107,worthy.worthy_,,95,97
548544959,mi.mi.0717,"MIMI💕
 💅 @nail.by_mimi",345,275
3267870634,soljji_,,530,255
5992078528,cantabile14,,105,79
7281118215,0l_hw,여행&일상,98,118
6086010213,cha__z,"@suzi_o.o 💕
수지훈👩‍❤️‍💋‍👨19.10.01~",484,420
1215206976,gkstn227,"일상,먹방,자랑질ㅋ",185,277
