inner_id,username,profile,follower_cnt,following_cnt
1260181400,dot0924,,134,161
2312433702,mok_sama,"🤓Joomok Lee
🙋한국인 (Korean)
🏠독일. 젠프텐베르그 거주 (Deutschland, Senftenberg)
🤖잡식성 장난감 수집",306,224
3709999336,kim_ssuun,"김선입니다.
그림 그리고 글 씁니다
협업/외주/커미션 관련 연락은
인스타dm/ 메일: alswns8989@naver.com /
페북: 김선(페메)/ 카톡아이디: alswns8989
로 해주세요 ~",41,80
1749667251,yisooac_,일식오너쉐프,261,126
12651972581,theplanps_j,"안면윤곽/안면거상
더플랜성형외과&피부과
📱 +82-2-534-5009 🇰🇷
압구정로 20길 6
The Plan Plastic Surgery & Dermatology 
- Facelift surgery
- Facial bone contouring surgery",210,503
12419072575,happyn_topper,"[한국아트앤컷디자인협회 페이퍼토퍼 지도강사]
행복한 순간 항상 .....
🎵 토퍼 창업 및 자격증 클래스 운영중 
🎵 그램벌룬 커스텀벌룬 과정수료
🎵 주문/문의 : 카카오톡 플러스 친구 ID : 해피앤토퍼",458,96
2032489347,chunkangs,"운동 하나로 즐거움과 행복을 전합니다!
가끔 아들스타그램으로도 미소를 접합니다^^",249,509
5980828656,teamdragongym,🐉TEAM DRAGON Boxing- 대표 오찬식 - 🇰🇷#복싱 #권투 #팀드래곤 #다이어트 #시흥시 #은행동 #은계지구 #복싱pt #은계,180,93
8177051026,mungstagram815,"소중한 아이들♡
미용도 중요하지만
아이들의 미용스트레스 관리가
더 중요합니다♡.♡
#울산애견미용
#대형견미용
#일요일도합니다
#당일예약가능
#오픈형미용실
#픽업
#상담환영
🐶출장 애견미용(예약문의)🐶
📌문자나 카톡도 환영합니다^^📌
010.2469.2524",527,412
24751197445,scalp_healer,"Scalp micro pigmentation!!
SMP 두피메이크업,탈모관리,두피반영구
카카오톡 바로가기↘️",95,176
17903013950,cyj9820022,"꽃중년이 되고픈 명랑 발랄 1968년 아짐의 해피 일상♡
 나이드는거 피할수 없음 즐겨라 #50대 #50대아줌마",156,30
28269885916,changhee1663,"🔥긍정에너지 나누며 함께 하고픈 50대 아줌마
⭐우리의 시간은 지금부터 빛나는 황금기
🌈내면의 잠재된 무한한 가능성을 깨워 자신이 얼마나
밝은 존재인지를 알게 합니다
♦️V그룹발라또 강창희
📲0️⃣1️⃣0️⃣ 2️⃣8️⃣5️⃣5️⃣ 1️⃣6️⃣6️⃣3️⃣",190,204
4676921385,gaerogi,,118,34
12002287219,se_ha0823,"이룰헤어/원장세하
안양미용실/안양동미용실/ 1:1 헤어샵",321,192
6165598896,lkd_episode,어제보다 나은 오늘을 위해..곱게 늙어가기,538,401
1386590639,designer_nabi,"문화복합공간_人터style
라이프스타일 디자이너_naBi
.
.
그릇편집샵_감성마켓
.
.
#음식과#그릇이 #만나는 
#소소한#스토리텔링#맛있는 
#한_그릇과 #함께하는#도자스타일링
#식탁위에 #펼쳐지는#테이블웨어",562,428
1698861411,yangs_plastic_surgery,"🎥 유튜브 : 양연모성형외과
💬 카카오톡 : yym3536 
📱  010-2319-3536
📞 032-325-3536 
-
[진료시간]
월화목금 : 10:00 ~ 18:00
수요일 : 10:00 ~ 13:00
토요일 : 10:00 ~ 14:00
일요일·공휴일 휴진",202,85
5400179491,thejoy_model,"[미즈모델협회 더조이]
국내 유일 주부.여성들로만 구성된 단일 팀..
미즈모델회원 수시 모집중.. 
패션모델에 관심있는 165cm이상의 30대~50대 주부, 여성모델 모집 중..
문의는 010-2828-1718",110,144
19568135292,boysplanet2,"광명점(organic sugar macaron)
.
🔹좋은재료로 담백한 맛을 낸 마카롱 
🔹12:00 open
🔹아브뉴프랑 광명 (1층 전면 좌측)
🔹02-898-8908",282,0
5429178369,bestuj_,"#창원앙금플라워#앙금플라워#떡케이크
#앙금플라워자격증#앙금플라워클래스
●수강ㆍ주문문의●
💕카톡 ggongsal  📲010.4578.5757",312,86
6820777020,ophelia_yogi.actor,"𝓛𝓸𝓿𝓮 𝓨𝓸𝓰𝓪, 𝓜𝓮𝓭𝓲𝓽𝓪𝓽𝓲𝓸𝓷, 𝓐𝓬𝓽⠀
⠀
외부강의 촬영문의 📩 𝒟ℳ
⠀⠀
망원역🌿거북이요가🐢 🐢. . .⠀⠀
원데이클래스 신청하기🔽⠀⠀⠀",557,211
28015448765,boom.gabi,그냥아는사람,554,421
39175323577,flower_rani_j,"-
-
딸둘맘  ᵔᴥᵔ 
-
my 미쮸 
-
-",85,63
16707525304,babsang_change,"#식생활강사 
#한살림 #식생활교육인천네트워크",147,244
5425362386,yangsamseo,"서가연어 숙성연어 전문점
영업시간 PM5:30~AM2:00(일요일휴무)",247,169
1417173148,park_chalse,,394,343
9652849633,ddung2c,"뚱이라니까여!
👉🏻 2015, 12, 10 / 뚱이가 집에 온 날
🖤 스트릿 출신 5살 슈퍼 울트라 겁쟁이 중형 혼혈 수컷🐶
🙏🏻 마주치면 짖거나 도망갈 수도 있지만, 악의는 없어요😘",115,76
2941611006,function_five,✨ABnormal things.                🏰Space design proposal.,103,107
1343161376,sm_0831_js,,239,158
1686562546,kong_cn0401623,"든든이 카나♡
카나 2013년4월1일생
꽁원장의 사진창고",567,441
1818003200,pilates_and_u,"Korea.pilates.bodygym.makebody.
Stott pilates certified instructor
#필라테스앤유",600,488
38889477501,taekkitomy,🥳🦾🦿🏋️‍♂️🤸‍♂️🧘‍♂️🧘‍♀️,64,10
29649886043,team_snake_.pohang,"포항시 남구 새천년대로 331, 3층",114,73
39206406604,song_hyun_do,,51,32
13360837184,sindongotoriseu,,133,227
6466069359,yunohun,,153,229
4987149944,herosbike,"여행은 목적지로 향하는 과정이지만
그 자체로 보상이다",73,55
4485291,funkysoi,"🎟학생이라 불리우는 녀석들이 너무 소중한 영어샘🎟 
📬 @funkysoi_with_paintings 📬 (생각바구니)",255,61
2004470501,goto_hongs,"🅺🅸🅳&🅵🅰🅼🅸🅻🆈 
. 
🏋️‍♀️NNEDU.Pts
🏋️‍♂️PTAG.Cpt
🏌️‍♂️NASM.Gfs
🧘‍♂️SnB.stretch
🥎Trigger.point
.
🤳Kakao: mmhong2
.
언제 어디서나, 어느 누구에게나
믿음직스럽고 쓸모있는 사람이 되도록",610,583
265702701,lisawoo0501,"Fitness Specialist
#pt #pilates #yoga #fitness
#운동전문가 #홈트레이닝 #운동
#SUP #휘트니스 #요가 #필라테스",399,530
11305287485,thejinsiim,"[테라피 패드]
100% 천연재료로 만든 현미찜질팩🌾🌱
 ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
친환경마을 진호리에서
수확한 곡물을 사용하는 
친환경 테라피 브랜드 ‘더 진심’
 -",403,168
39551386514,iszm88,"인물사진 전문, #일산증명(#ㅇㅅㅈㅁ)
촬영문의 @ilsanstudio_archive",166,140
1964151186,yudongmi70,"Psyche 🧚🏼‍♂️패션🙅‍♀️여성👗의류👢ootd👛
🎤음악 🚘자동차 🌎여행 🙏🏻감사 👩‍❤️‍💋‍👩사랑
#체험단👌#리뷰어 #협찬🙏🏻소통👌
#중년 #주부 #인플루언서 #소중한일상",586,640
3314154964,appie.up,"korean,Like:movie,picture.lure fishing,radio, coffee roasting. Hate:tv,rude",78,83
37526202046,aje_mon,패션 빈티지 스타일,67,55
5541040784,glassstory_sanbon,"글라스스토리 산본점
문의: 031-398-1001
위치: 산본역 앞 군포상가2층
         신진약국2층
         분식나라2층
취급브랜드:버킷리스트.스테판크리스티앙. 피에스메르시.후큰.에이프릴.프랭크커스텀.
페즈베르데.그외다수........",341,223
50210203,dada_1102,"다다의 보금자리 👨‍👩‍👧
👧🏻우다다 여니와 함께하는 초보엄마❤️",603,366
6033439830,yongdugyda,"🔆movie actor
🔆에어비앤비영월
🔆슈퍼호스트",454,230
1004337208,donghyun0_0,"1867110032275
어플, 페이스북 인스타 타계정 사용하지 않습니다",616,392
2057661959,ysi1221,"#꽃중년#멋스럽게나이먹기#관리하는남자
#새로운시작#강북3구역재개발",409,280
3123352,skylove_00,사랑하늘맘😍뿅,71,86
3017609968,lj.hair_shop,"💈용운동Lj헤어💕
💈영업시간☀️오전10시~🌙오후8시
☎️예약문의)042-274-8066💕
#대전동구미용실#대전은행동미용실
#대전대미용실#용운동미용실#판암동미용실
#자양동미용실#대동미용실
#가오동미용실#우송대미용실
#커트맛집#염색#셋팅펌#여신머리
#감성컷#그리고Terry",92,167
6967985778,ddang_kong_baby,나는야'땅콩베이비(애칭),131,102
1550869551,je_i_mom,"𝑟𝑖𝑚𝑎𝑛𝑘𝑜𝑟𝑒𝑎 💎 V.GOUP
🏆#발라또본부 피부전문가
✦ 추천인NO:200807985
✦ 현 피부관리사가 제안하는 뷰티팁✨
✦ 청라 인셀덤 체험문의 
⬇️사업상담 제품상담 환영⬇️",227,131
3026955196,precilia_lee,": World tour, Beauty, Hole in the wall, Daily
""Life is a multiplication. Even though it has come any chance, it is no meaning if I have a zero.""",135,205
9000957407,yimshiro,"12살 꽃중년 개삼춘의 제주도🏝 섬생활 이야기🐾 
🐕개편한 세상, 개좋은 세상, 개행복한 세상 원해요🐈
**제주도 유기🐶🐱입양문의📧DM**
***제주<>서울 🐶🐱이동봉사📧DM***",243,220
23355888499,id00000830,무적엘지 엘지트윈스,252,468
1976956622,jsstyle00,,129,117
7178473836,lalala_ok_79,,145,142
3598901419,byulnam2,"🐾@helpshelter 에서 왔어요. 
🐾별남이 (네살, 천방지축) 👨‍👩‍👧
🐾#사지말고입양하세요",230,246
