inner_id,username,profile,follower_cnt,following_cnt
1383792898,soojin.0703,,103,34
45919,shanmei511,2019.06.29 👩‍❤️‍👨,95,261
11800229534,richjmin2019,"This is Jamie.
먹고 즐기고 사랑하라.
방랑먹보의 특별한 매일",90,36
5573270284,seojin_hair,"단 한명만을 위한 프라이빗 예약제 헤어샵.
초록창에서 ""사하구서진헤어""를 검색하세요🤗
🐱cat.jjin",57,57
26763196694,joayree,"라떼토끼 스토리 와 자유그림, 나누고 싶은 책을 기록합니다.",117,123
5408603700,kossam75,"[ #엄마심장도쫌지켜줘 ]
#딸바보 #파파라치맘📸
#브런치연재작가 #출간작가
#일상 #여행 #사진 #고양이
공저1호 [ #공감따뜻한동행 ]
공저2호 [ #글을파는편의점 ]
#시를쓰는수학쌤 #공감글
#역마살과여행의지 #에세이
#초록이의출간이야기 #책",238,352
5650086353,hey_j_u_n_i,"나는 행복한 사람 ☘️
좋아하는 거 하면서 살아요 💕
광고사절 🚫",137,553
33411760899,y170404,,4,6
9265440609,midorijinyoung,"충남당진에서 9살6살 남매와 전원생활 
육아소통,전원생활,#남매육아,책육아,#명품가방후기
본업은명품감정,명품매입,위탁,판매
#샤넬#구찌#루이비통#입생로랑#지방시#로렉스#까르띠에
#네이버에 #스타75~ 언제든 문의주세요 !! 
#당진맘,#고대초 #전원생활 #전원육아",107,27
33280983180,whsimple484,모두 행복하시길 바랍니다~♡,59,150
1940726846,bomi_leeboyoung,"*보미 점심개시 - 오리돌솥비빔밥,제육돌솥비빔밥*
(정성으로 키운 유기농쌀과 야채들,엄마김치..)
역삼동 662번지    일요일은쉽니다",379,395
1618754452,dosifamily,,441,285
9941612542,poem__dawn,"[Aroma de la memoria]
일상:@jw_dawn
Spoon/dawn.oh",89,61
5314756081,im_choumong,"▫슬기로운 칼림바 생활 모집 마감 
▫️본캐를 찾아서💃🏻
▫️그림책 감성테라피스트 | 리본스타일리스트
▫️블랑슈슈 @blanc.choux 
▫️아날로그 감성, 칼림바, lp, 달콤한꿈다방",227,228
5324528017,yoony7595,그냥.처음으로.돌아갔으면..,560,667
4004060593,kuyoon2115,,57,50
7259010141,kimys0718,"#엄마표독서 #엄마표영어 #80원숭이띠 #늦깍이5세엄마
#심리상담사1급 #중등교사2급  #플루트선생 #공부하는 여자 #사회복지사
#음악교사🎹   #광주교육파트너 #맞팔선팔환영 #육아고민공유
 
  📌📌링크로 들어오세요~🤗",151,269
