inner_id,username,profile,follower_cnt,following_cnt
3423765,rachel_izzy,,72,158
1506854046,minijinip,하고싶은거하고살라고,420,348
1807068891,hyun_8088,,307,109
7071858766,huny222,,2,12
772635143,airkse,홍대 '라운지플스방',657,483
305825201,rochas80,"2011.11.27 💍💑💕 
2017.01.02 19:01 3.37kg 51cm 👶🏻
Ko Dain❤️",201,185
1539186533,leesoosik,먹고 읽고 살찔 것 같아서 걷는다.,226,132
641339082,xx_jungjaemin_xx,"⚡Burning sun club x play ent⚡
Thu/Fri/Sat/Sun 11:00pm ~ 10:00am
VIP Reservation(+82)10-3053-9934",468,430
5716536028,leejy8303,"♡엄마와 하은이의 성장스토리♡
°엄마딸로 태어나줘서 고마워°",173,407
3562566389,amychokh,"에이미의  dairy🍓
🇰🇷🔁🇯🇵
Living in tokyo
Tokyolife🌿",458,360
1391886277,sunmi959,바른생활😌,631,233
1577330939,istarmin,"💋2013.11.30🤵👰
💋2015.06.24  혜선원후🐑
💋2018.08.16  혜담공쥬🐶
👬👶우리 아가야들의 육아일기✒",429,62
1743052620,again_tiger_,,479,647
1020995323,leeminsic,"SK , KT , LG , 알뜰폰 , 인터넷문의
010 - 3323 - 6466",680,381
3495800211,d2_js,빛을 잃은 별 하나,69,14
4498874279,hoonhoonhaejina,"#젝스키스 #젝키 #sechskies  #강성훈 #kangsunghoon #옐로우키스 #후니월드 #hoonyworld #은지원 #이재진 #김재덕 #장수원 #원카인 #폴리스
#jaijinfanclub 매일같은나날중..
매일매일보고싶다..
출처꼭 밝혀주세요~~",61,35
1504195037,___bory___,,207,545
7014384730,duck2._.daramg2,22년차 옐키💛할나리👵폴리🚨구랭이🐍랼🐣쁘니쁘니,6,1
25984886409,lovehomeyoga,"🙏홈요가,글리코요가강사 
#M5M미션#메나테크#의학대체웰리스#글리코영양소#사회적기업#아로마테라피
#6살#딸맘#작은#백설공주#집#육아#일상#변화",114,112
7769110621,fantasyboy.rollerclub,"국내 최고 규모 서울 천호역 판타지보이 롤러클럽
★이용안내★
""링크 이용 시간 당일 무제한, 연중무휴""
""상가주차장 2시간 무료""
""2시간 이후 30분당 500원,카운터에서주차쿠폰 구매 후 이용가능""
""무료 2시간 포함 최대 5시간""
⬇️자세한 정보는 홈페이지에서 확인",525,493
21843782516,kimyongchan77,,9,2
9130454248,sattou513,개인 블로그,111,125
1397177048,y.ji_h,"#10살아들 #5살딸 
#워킹맘 #2자녀엄마
언제나 #다이어터",181,503
7317630109,wooo92,,144,294
5784793406,emmalee.81,현명한 wife & 맘씨좋은 mom & 능력있는 woman,143,143
836599220,goddesssoo,무심하지만 섬세한 도라이,106,153
8644138374,n__z__q_,,69,684
8662413845,m.a.i.l.f.a.y.i.l.n,"글쓰기를 사랑하는 사람입니다
지우개파는것도 좋아하는 사람입니다
자수 놓는것도 좋아 하는 사람입니다
손으로 하는 모든것을 좋아 하는 사람입니다
두아이의엄마입니다
한남자의 아내입니다",23,145
4424321637,gumom0311,"세상을 경험하고 많을것을 느끼며
삶의지혜를 배워가는중💕
딸.남편 그리고 마흔하나의 나
#geojelife #iloveme #lagom",145,291
1399612633,yoon_50gram,"Let faith never betray life... Love is more
I am a 50 year old Peter Pan
And,  Sometimes demonic, sometimes angelic",65,45
8185193445,sunyi_day,"일상이 행복이 되는 엄마의 공간🍋
시끄러운 행복 주의 🏡",148,176
6192830023,kim.ji_seon,,70,39
2167299061,violetkang,,19,119
