inner_id,username,profile,follower_cnt,following_cnt
2218826690,dalcom71,"⠀
⠀
•어제보다 더 나은 내일을 꿈꾸는
•드림메이트 ✨⠀ 
⠀
ᵀᴱᴬᴹ ʙɪɢᏴᴀɴɢ _____ #올바른네트워커 #팀빅뱅
⠀
📩kakao - eppy71
#뉴스킨하세요",278,138
3716603274,hamjeonghwa703,"□함정화의 감성이야기🍀
□감성 경영💗
□예쁘게나이먹기
□골드린516
□선한기업
□선한영향력
□삶의균형
⚘🌸⚘🌸⚘🌸
♥♥♥♥♥",549,288
4516691728,suhyeon1970,"여행✈
맛집탐방🥘
카페탐방☕
된장이와🐱 함께사는 행복한 일상",195,98
4831152497,dalant_deagu,,245,532
8615904189,leeokjoo7,,28,6
4517585950,yuna_srore,"연신내 나이키매장 골목에 있어요
옷가게 전국택배가능요^^
이쁜옷 구경도 하시고 
향기좋은 커피도 한잔해요~^^♡
#바지ㅡ원피스전문 은평구옷집#신발가방
카스ID 유나상점78번길",318,423
8501704959,sinnayo2016,"🐭띠 딸램(13살) 🐔띠 아들램(16살)
남매 키우면서 햄볶는 52세 아주미
.
늘 똑같은 일상. 변화가 필요해",308,223
37532868634,suni_bongdabang,"딸래미 2명 👯
애봉 애동 달봉 강아지 2마리 🐶🐶 고양이 1마리 🐱 의 엄마 🙋
30년차 직장인 👩👜 , 평일에는 열일🖥 주말에는 집밥으로🍚 행복하게♥",384,59
4155453619,p_kihyeon,"1:1 PT샵 팀윤짐 송도 4호점 트레이너
전 아크로바틱 코치
스포츠 재활 전문 자격증 소지",41,26
39280047253,cho_y.y,,33,16
4185248840,suk__1111,#평범한주부#세아이의 엄마,585,488
6882428272,yeougureum,"🤩 베송메세지에 “인스타팔로워” 써주세요 서비스 드려요⠀
⠀
👇이벤트 참여하기👇",129,74
1707321289,cxxkxxa,memory,159,145
38823481716,cobi.9999,"#소소한(68년생🐒띠)일상 #사진찍고 그 사진으로 #생활비벌기$
친구따라 사진찍었더니 좋은일가득~
#사진재테크로 #노후준비 완료~
-카톡ID cobi7959",292,286
39652281928,suna5.9,"🌾쌀집  언니
🍚집밥
🧑고딩 맘 
🎵음악듣기
📚 책읽기
⏳샌드아트
👩‍🎓MKYU C.I.O 2기 학생
#MKYU#CIO과정#씨클 모여라#CIO2기#씨클2기#고3#독서스타그램 #쌀  #잡곡 #모래이야기",112,57
3300413522,mijuwookmin67,,83,119
40600228948,hyun814______,옷을 좋아하는 언니~~~,15,18
7359370265,hyodongmom_511,,127,176
36656024934,coocoo5715,"외적 내적 성장을 동시에❣
나는 매일 매일 성장해❣
17년 오랜 운동으로 다져진 바디♡동물사랑♡나는 패피♡ #외상심리상담사자격증취득#초등영어지도사자격증취득#관심분야는 #자기계발서#강연#인문#봉사#철학#시#패션 
하루도 놓칠 수 없는 부모님에 대한 사랑까지도~~^^💕",466,207
38009694590,mcm66074,,53,11
17903013950,cyj9820022,"꽃중년이 되고픈 명랑 발랄 1968년 아짐의 해피 일상♡
 나이드는거 피할수 없음 즐겨라 #50대 #50대아줌마",156,30
39034787037,7062_sse,,16,26
32725158472,hann_tree,해바라기 꽃과 예쁜 옷을 좋아해요🌻,52,48
37563663696,miim_1577,울산사는 중년아줌마,11,79
17437339000,winlook_office,"#50대여성의류 #40대맘 #오피스룩  #여성정장
🌐서울특별시 강남구 선릉로 414 수정빌딩 1층
📩문의는 DM주세요",26,11
31704181080,beautyofthepond,"행복하게 살기위해 사랑한다.
하루에도 몇 번씩 하늘을 보는..
#주님사랑
#50대아줌마그램
#제2의인생을위해 
#여행을좋아하는여자 
#먹스타그램
#간식스타그램
#평범하게
#멋지게
#잘살고있어요
#함께해요 
#인스타공부중
#코로나19조심",36,81
7445376348,mchair.jeongmun.in,".
💖솔샘역 MC헤어
.
🍀문의, 예약 : 02 988 6635 
☘️영업시간: 10시 ~8시 (수 휴무)
.
🏡위치: 솔샘역 1번출구/
(서울시 강북구 솔샘역 184)
.
#미아미용실 #솔샘미용실",109,89
39055463185,yestoday5667,꽃 같은 청춘 50대.,1,14
30112168495,be__flow,,9,40
3404302264,bomnal71,"따뜻한 봄날입니다♡
마카롱&뚱카롱 대량 구입 하실분은 연락주세요^^",514,544
1938519885,hsback2000,,241,301
39811398851,yunhyeonmi109,,28,29
32829619829,jeon._.70,"🤞세상에 하나밖에 없는 이쁘고 귀한 딸
     인스타그램권유 이쁜딸의 사진촬영",214,114
8160239170,choipark05,#fasion designer#fashion#design#fasionbusiness#ideas,28,9
6164320553,fca_han,"#복음전도사#꿈전도사#건강전도사
#everydaychristmas#자유#여행
#행복한일상#아들둘맘#댕댕이그램
#레인보우드림팀🌈
#amway#amwaylife
#Compassion our Mission
#Helping People Live Better Lives",475,293
39175323577,flower_rani_j,"-
-
딸둘맘  ᵔᴥᵔ 
-
my 미쮸 
-
-",85,63
7125821946,shinaera_37,"💃50대 건강&다이어트 전문 코치👏
🙋‍♀️살을 빼고나면 인생이 달라져♡
🔑1:1코칭 
_
 
  👉카톡문의: gamsa0903 
  👉전화문의: 010 - 9400 - 1272",231,133
6928470628,gio__jeong,"#도매 #의류제작 #패션 #뷰티  
#디자인 #4050",34,48
1963853075,eunjoo063,,115,66
8623973156,jeon.og_daily,"패션과 꽃, 그림에 관심이 많은 50대",107,28
14279864796,kang_mi_ni,?,23,24
10572692025,khj_gcooper,"#책스타그램#동기부여#자기계발#지쿱
#케어셀라🥰#지페스타#제너럴바이오
#공정위성장율1위
#글로벌 마케팅
#전세계최초#협동조합형#네트워크 마케팅
#B-CORP인증#브랜드 체인지#인세소득#사업 문의☎️01055574992
🛒🛒🛒쇼핑몰↙️회원가입 무료 비회원 주문 가능",254,222
1337913238,luv_jackie_lim,,657,395
