username,inner_id,profile,follower_cnt,following_cnt
_ji_hwannn,36137828342,#맞팔 #팔로우 #04 #고등학생,82,67
yunkong13,2207873857,"여행과 패션,음악을 사랑하는 도시 거주자♡",223,202
rudgml5396,4095647370,"2016.10 ~ 2018.07.08
Vietnam
Hanoi
안녕
Saigon
2018.07.21
반가워 한국
2019.09.04",161,563
wonibeeni,36331243647,"반짝반짝 빛나는, 연년생남매 라이프!
ᴡᴏɴɪ + ʙᴇᴇɴɪ
ᴅᴀɪʟʏ : sᴇᴡɪɴɢ : ʜᴀɴᴅᴍᴀᴅᴇ",576,604
semos_log,9002748731,,29,25
a_hyoun_shin,4227946865,,85,119
sin4753,3043948662,"일기처럼ㅋ 나님일상기록,^^",159,301
haekyeong211,3264629376,"달콤1호 #조아현   
달콤2호 #조윤후   
달콤3호 #조윤재   
😜😜조남매의 달콤한 일상",111,246
_eunjeong0919,4220963381,"#세븐일레븐 신륵사점
#남매맘
#초4아들#축구사랑⚽️
#초6딸#인싸#모델#이쁘니😍
#소확행을 좋아하는
#소비요정🧚‍♀️
#수영과 산을 조아하게된 불혹의 여인😱",204,195
zzzsoo3,11767519631,"놀 줄아는 엉아들의 일상... 👩‍👦‍👦💕
아이와 갈만곳, 영화, 전시...만들기",52,129
hwaae.s,5517704473,"교원 빨간펜 지구장🖍
아이들과 함께 배우고 성장하기🌳
워킹맘의 소소한 일상. 
육아 및 교육정보",54,54
hongjoo8449,5661624841,"반백살 가장님 👨
고1 갈길가는 #이병인이야기 👨‍💻
중2 공잡으러 뛰는 #이병현이야기 🏃‍♂️
초4 스스로 잘해내고 있는 #뽐뽀미이야기 👯‍♀️
나는 #엄마선생님 👩‍🏫
#에피소드부자 #사는이야기 👩",408,248
parkbr21,36536173109,,36,0
hyokyung_maria,9038212428,안녕하세요😊 전남 순천 호수공원에 위치한 피아노학원입니다^^ 경상대 순천대 출강중인 짝꿍 K쌤(서울대졸)과 저 M쌤(숙명여대졸)이 책임있게 가르칩니다!! #초중등부 #전공반 #입시반 #성인반 #ABRSM 국제급수시험 준비도 함께해요. 🎹문의: 061-725-9695,398,339
soda_h.y,9732086612,독서런닝-ISU,15,58
kyuhee85,5936980124,"육아👶,취미💃🚴‍♀️즐기며 인스타하는 아즈매🤗
간간히 여러가지 소소한 취미도 하고요
-> 리 뷰 <-  쓰는거 좋아하는🤣🤣
인생 즐기는 직장맘입니다♡",223,275
ssorara___,27267968922,"11살 예쁜딸둥이👭
6살  귀욤막내딸👧",88,72
cokki1234,6255779585,,31,58
gumju.sin,3006885932,파티와 공주놀이를 業삼아 하더니,177,154
sunhyun0524,2426357230,"#말만하는다이어트 #건강식단 #여행스타그램
#홈메이드레시피 #건강레시피 #육아소통 @eatsbello
여행.다이어트.음식.육아 이야기 소통해요!♡
사부작거리면서 짤짤거리고 잘 쏘다녀요!",392,222
kjm76567656,38537895211,,0,3
nicchia__a,1548711867,마녀와 사는 아이들🎃,253,166
