inner_id,username,profile,follower_cnt,following_cnt
10017451560,yujjang7290,,47,24
2117317366,joy786jake,,561,382
40094857712,jianii_jewelry,"#지아니 쥬얼리 💍🎆
#ing💘💘#10월예정
#진주#큐빅#스와로브스키
#실버#14k#18k
#악세사리#직장인룩#워킹맘
#반지#목걸이#목걸이#팔찌#시계
#20대#30대#40대#50대
#세련#도도#청순#섹시#큐티
💍👣⏰🎁⌚👒📿❣
⬇️카톡오픈채팅⬇️",437,562
19256831648,with_star.sky,"#운동하는엄마 #피트니스 #피트니스선수 
#workout #케톤빌더#weighttraining #ketogenic #간헐적단식 #저탄고지 #forty#이중언어 #엄마표 #육아일상 #별하늘공작소 #비누공예 #퍼스널컬러 #인상학 #강의 #교육 #교육스타그램 #헬스타그램",93,59
6975035851,l.o.v.e_sunny,"공식
 TEAM BIG BANG
#올바른 네트워커#팀빅뱅
죽어야사는여자🤗
#동안미인
#동안피부
#동안바디핏
#동안뇌섹남녀
Wanted I.D amykim04 
Contact. kr824562
Time Anytime Call me up!!",270,233
579450376,realjihae,"Flora yun 플로라윤
카톡ID florayun
DM문의 주세요😊",502,254
37628268180,missybonita_store,"시크하고 트렌디한 미시 여성의류 자켓,블라우스,원피스,스커트 등
❤ 웰컴 가을 신상 ❤
블로그 : https://blog.naver.com/zeroju019",79,75
4479231648,myeonggyu8980,"아무거나올림 
지역, 대전
이름 ...;멍구
내인생 40대초반
절반 살았다  전부다 잊고 다시 시작이다",132,132
21863517915,kms802000,"#마음공부 #꿈 #성장 #감성부자 #가장나답게 #마음챙김
#일상 #감사 #삶의의미 #소중한내사람들 
👇 'MJ연서 TV' 유튜브채널 보러가기 👇",135,32
3068853082,gil_unnee,"🍭ᴅᴀɪʟʏ, ʙᴀʙʏ, ᴄᴀᴍᴘɪɴɢ, ᴛʀɪᴘ, ғᴀᴍɪʟʏ",572,536
37211875771,vlog0601,"#언니의일상 #언니의도전 #운동 #헬스 #밤운동🏃‍♀️#독서 #독서노트  
# 다이어트#다이어트식단 #새벽기상😱 #미라클모닝 #운동하는여자  #성장일기#일기#일상기록#패션#런닝 #10km🏃 #달리기#고양이#running #runstagram #runner",329,106
8668760956,78dblee,"❤도경 준석 애비 ❤
김천사는 옆집 아저씨
""기분이 태도가 되지 말자""
선팔하면맞팔 장사꾼은 사절🚫",663,425
2524259,summerbombom,"〰️ ..〰️ 그 여정이 바로 보상이다.
The journey is the reward.-Stv Jobs",474,361
35431470846,gimdonghwi975,,40,13
13552207383,uyunawa,"🌈고기리 하우스는
일상을 따뜻한 감성으로 담을려는 
가족 아야기 입니다.",700,375
40807460672,aing_hwango,💜,37,60
24827028596,_2_win_s_,쌍둥이시니어모델 👭,179,33
39510786939,hi_toetoe,"발가락이 변형되거나 예쁜 발을 되찾고 싶으신 분들!!
파워발란스, 듀트로 건강 되찾으세옹!! 웹사이트 클릭!클릭!
👇👇👇
무지외반증, 지간신경, 발가락 변형, 무좀에 특히 좋습니다
😻특히, 여성분들은 파워발란스 강력추천합니당~~
언제든지 DM으로 상담주세요~",62,64
37689683849,dingdong.drug,"일상 속 반려견 건강 관리를 위한 서비스 dingdong
.",85,35
31755876823,gggg_777_,밴드 없으신 분들은 브라우저로  계속하기 눌러주세요,310,495
35555734139,restroom9_official,"💃🏼 #보헤미안스타일 🏭 #국내생산 #자체제작 
🧡 #여성의류쇼핑몰  ☎️ 02.2235.4031
📺 레스트룸 홈페이지 보러가기 ⬇️",133,191
15147696056,sugarhomt,"즐겁게 운동하며 일하는 밴쿠버 슈가맘입니다~💗
.
🍭캐나다 건강 라이프 🇨🇦🇰🇷 
🍭운동인증👊🏻
🍭일하는 남매맘",398,432
2307375969,bbanilla,"💖연산연하 커플😝
👊💥선택 했다면 꼭지는 찍어보자💥 👍
💥🤭🤭🤭   45세 대회출전 목표💥",487,672
39500360668,dailyburpeejaewon,"👨‍👩‍👧‍👦40대 두아이 아빠
😸건강한 운동습관과 기초체력 만들기
😈버피(푸쉬업, 스쿼트, 점핑잭) 좋아해요
📕78kg(20190805)➡️64.8kg(20191222)➡️69kg이하(현재)",105,159
8688573525,viel_gluck7,"개애정
.
개=셔틀랜드쉽독 #셀티 APRIL 2012
애=슈 Gavin 2018
정말 잘키우고 싶은 mom
.
전 14년차 교사
현 #독박육아맘 개애모
#교사스타그램
#유아교육전공자
#아들맘
#일상
#육아소통
#황금개띠맘
아동 발달, 아동 심리, 육아고민 상담도 소통",306,383
2363801449,999999999__bs,,225,166
18812477158,kimyonghwa_pilates,"#일산 기구필라테스 
#필라테스 강사
#무용전공",10,20
33221439731,gramm_seoul,"GRAMM
Ä Gramm of Happiness
Handmade Unique Jewellery
🎈 based in South Korea, Seoul
📦worldwide shipping
©️ all design rights 
🔆 DM to order  👇",153,390
3158450434,jji.hk,"#건강식품쇼핑몰#네트워크마케팅
#일상#맛집#운동#골프#golf#선팔환영",164,64
39385978008,ordinary.81y.186cm.1114,"#유부남 #행복해💕 #평범한직장인 
#헬린이 #개아범 #화장품파는남자 #해외영업",54,45
