inner_id,username,profile,follower_cnt,following_cnt
9517381,kkyuhan,"-
내마음대로
세상그리기.",267,252
859198646,almi_kim,,593,390
889232,minjini30,,224,165
2231887,me_once_more,I am me once more,244,166
1714780137,dami.219,,166,89
3087261896,mrdopamine,,244,285
1797890647,destiny_inhye,여행.일상.가끔 책,164,279
1626496146,limjeonghee0523,"2019,04.07🤵👰
2020,물오름달,스물나흘 나은👸👶",432,371
2256178299,nsmagic015,,171,150
3594225866,hy.tae,"🇰🇷Visted:🇻🇳🇮🇹🇫🇷🇨🇳🇯🇵🇻🇳🇨🇳🇹🇼🇯🇵🇯🇵🇵🇭
10km 00:44:52/19.11.03
half 01:56:37/19.05.19
full  04:33:25/19.03.17
Can do it:🏂🚴🏃🏼🗣👨🏻",501,467
3532048658,zzeunkk,forever young,65,95
2257248295,haram_seojun,"🌟우주대스타 박서준 꽃길만 걸으시길🌸🌼🌻🌺
✉두번째 팬미팅-이화여대✉ ☕16.12.17☕
📺쌈 마이웨이📺 꼬동만 ☕17.06.23☕
🚔청년경찰🚔 내기준 박기준 ☕17.08.06☕
✉3번째 팬미팅-평화의 전당✉ ☕17.12.09☕",120,111
4876686531,youkwan_baeksu,Not Human.,152,214
2281970307,hhhae_b,"특별하지 않는 소소한 일상 이야기.🕛
⏩South Korean : 90.10.12🐴
⏩감성사진🌇셀스타그램😎먹스타그램🍱
⏩일상,소통,맞팔👍",244,164
508673825,twomyoung,마이크덕후🙋💚,193,115
1266721313,jisook0514,,415,406
8099447901,t.son_714,"⚽️ 수원블루윙즈  / ⚾️ 두산베어스
🎳 건영볼링장 '토네이도 볼링클럽' 회장
🎳 2020 노원구볼링협회 이사
🖌 제대로 배운적 없는 야매 캘리
.
AM 09:18 - 아직 늦지 않았다🤨
@jinah_825 천천히, 함께❤",233,626
2908547212,andrew.hwan,"#Datascientist #Traveler
#Food #drink with story @the_mariage",611,337
9201372,jung2_s2,,372,302
1376791459,lee_youmee,내 모든 것을 표현할 수 있을 때까지,257,262
644471481,04m29s,[close] 재업은 좋아요👍 로고는 자르지말아주세요..😭(변요한제외),279,0
4766685126,chiyou_ara,윤츄🙊,50,181
1798558433,i.am.not_jina,계정을 옮겨따 (⊃･ᴥ･)つ  @i.am_jina 요리로!,455,206
2199544363,1sunnysue1,"일상/잡스타그램/쉬어감
흔한듯 흔하지 않은 일상들. 삶의 오류를 좋아함.끝",196,297
1382883718,o_dengpppi,,193,170
3056572599,ahn_boyeon,"-
▫️뽀밍부부의 소소한일상💛
▫️신혼집 | 주방놀이 | 살림
-
👩‍❤️‍👨 2018.01.26
💍 2019.10.26",475,187
336529630,areum__kim,"반짝반짝 빛나는 앎💙 🎗
🇯🇵🇺🇸🇬🇧🇫🇷🇨🇿🇨🇭🇮🇹 🇫🇷🇨🇭🇳🇱🇮🇸🇹🇼🇳🇱🇬🇧",137,584
1735951505,kimsmannn,John the Baptist,345,502
1682253330,shinae__k,"우리셋 예쁜기록👨‍👩‍👦
매일 평범한 하루 속에 즐거움을 찾기🙃
🇦🇺 in sydney",285,235
1431719991,yongyeol_nick_lee,"-
좋아하는 것만 하고 살기에도 인생은 짧디 짧다.",145,154
547553623,sj_seok,내 이름은 푸드파이터 직업은 집사 부업은 석수정,493,309
1323692785,hjooa,느리게 걷기,159,134
